Product,key,qty,order number,delivery number,delivery date,placed date,new shelfs
Bag (12x18 inch) - 5kg,sto7,12750,152,152,26/03/2021,10/03/2021,
50mm x 25m Polytunnel Repair Tape 8110CL50X25,pol14,300,153,280903,15/04/2021,10/03/2021,
75mm x 25m Polytunnel Repair Tape 8110CL75X25,pol15,100,153,280903,15/04/2021,10/03/2021,
100mm x 25m Polytunnel Repair Tape 8110CL100X25,pol16,500,153,280903,15/04/2021,10/03/2021,
150mm x 25m Polytunnel Repair Tape 8110CL150X25,pol17,200,153,280903,15/04/2021,10/03/2021,
200mm x 25m Polytunnel Repair Tape 8110CL200X25,pol18,200,153,280903,15/04/2021,10/03/2021,
Bamboo Cane 10ft,bam7,2000,154,PO0004020,06/04/2021,10/03/2021,
Bamboo Cane 2ft,bam0,14000,154,PO0004020,06/04/2021,10/03/2021,
Bamboo Cane 3ft,bam1,58000,154,PO0004020,06/04/2021,10/03/2021,
Bamboo Cane 8ft,bam6,30200,154,PO0004020,06/04/2021,10/03/2021,
Bamboo Cane 4ft,bam2,39500,154,PO0004020,06/04/2021,10/03/2021,
Bamboo Cane 5ft,bam3,24500,154,PO0004020,06/04/2021,10/03/2021,
Bamboo Cane 6ft,bam4,32000,154,PO0004020,06/04/2021,10/03/2021,
Bamboo Cane 7ft,bam5,13600,154,PO0004020,06/04/2021,10/03/2021,
Green Split Cane 12inch/1ft GSC12,sup9,25000,154,PO0004020,06/04/2021,10/03/2021,
Green Split Cane 24inch/2ft GSC24,sup10,30000,154,PO0004020,06/04/2021,10/03/2021,
Green Split Cane 36inch/3ft GSC36,sup11,30000,154,PO0004020,06/04/2021,10/03/2021,
Iron Sulphate Ferrogranul Ironferr,fer49,2000,156,37334,11/03/2021,11/03/2021,
Black Round pot 5L DK5.0SL,pot73,4920,158,SO0018925,30/03/2021,11/03/2021,
Black Round pot 20L DK20.0L,pot78,1200,158,SO0018925,17/03/2021,11/03/2021,
Black Saucer 30cm DKS30B,pot56,200,158,SO0018925,17/03/2021,11/03/2021,
Deep Rootrainers RT010101,see19,520,159,TSO91774,22/03/2021,11/03/2021,
Woven ground cover 5m x 50m GC75550,gro28,82,160,244921,12/03/2021,12/03/2021,
Half Size 6 Cell Pack HSP6,see3,4000,161,SO0017993,12/03/2021,12/03/2021,
Capillary matting 100cm ICM10,irr1,100,162,SO0017993,12/03/2021,12/03/2021,
Sodium Bicarbonate SB565,sal0,2100,163,1186054,12/03/2021,12/03/2021,
Gravel Trays HFSTHW,see27,3900,164,51,17/03/2021,15/03/2021,
Half Size 6 Cell Pack HSP6,see3,5600,164,2,26/03/2021,15/03/2021,
Capillary matting 125cm ICM12,irr2,650,165,SO0018822,17/03/2021,15/03/2021,
Capillary matting 100cm ICM10,irr1,750,165,SO0018822,17/03/2021,15/03/2021,
Deep Rose pot 7L DK7.0LR,pot9,4450,165,SO0018984,17/03/2021,15/03/2021,
Deep Rose pot 2L DK2.0LR,pot6,10050,165,SO0018984,17/03/2021,15/03/2021,
Large Pot with handles - 130L LTR130,pot21,150,165,SO0018984,17/03/2021,15/03/2021,
Large Pot with handles - 30L LTR30,pot93,330,165,SO0018984,17/03/2021,15/03/2021,
9cm Thermoformed Terracotta Pot 9cm-TF-H-TC/B,pot48,21488,165,SO0018984,17/03/2021,15/03/2021,
Round Wire Hanging Basket 14 inch WBR14,han5,180,165,SO0018984,17/03/2021,15/03/2021,
Terracotta Pot 13cm 13F,pot38,396,165,SO0018984,17/03/2021,15/03/2021,
Terracotta Pot 21cm 21F,pot41,504,165,SO0018984,17/03/2021,15/03/2021,
Full Size 24 cell pack SV24,see9,1000,165,SO0018984,17/03/2021,17/03/2021,
Half Size 9 cell pack HSP9,see6,2400,165,SO0019038,17/03/2021,17/03/2021,
Half Size 12 cell pack HSP12,see7,2400,165,SO0019038,17/03/2021,17/03/2021,
Capillary matting 80cm ICM08,irr0,2000,165,SO0018822,17/03/2021,17/03/2021,
Bone Meal 3.5-18-0,fer9,2000,166,37406,16/03/2021,15/03/2021,
1-0-0+9.5Fe Lawn Tonic EL4035P,wee2,2000,166,37406,16/03/2021,15/03/2021,
Beta Rat Bait Box BETA,pes23,480,167,122278,16/03/2021,15/03/2021,
Green Netting 2m x 100m PN30201,net0,4500,168,168,15/03/2021,15/03/2021,
Green Netting 10m x 100m PN31001,net4,5800,168,168,15/03/2021,15/03/2021,
Green Netting 6m x 100m PN30601,net2,2300,168,168,15/03/2021,15/03/2021,
Green Netting 8m x 100m PN30801,net3,2500,168,168,15/03/2021,15/03/2021,
Support Rings PS10,sup13,1000,169,17685,18/03/2021,15/03/2021,
Angle Head Black - 19cm SL190BLACK,lab0,500,169,17685,18/03/2021,15/03/2021,
Angle Head White - 19cm SL190,lab1,500,169,17685,18/03/2021,15/03/2021,
4 inch Yellow Stick in Labels L4YELLOW,lab34,20000,169,17685,18/03/2021,15/03/2021,
4 inch Blue Stick in Labels L4BLUE,lab28,20000,169,17685,18/03/2021,15/03/2021,
4 inch Green Stick in Labels L4GREEN,lab29,20000,169,17685,18/03/2021,15/03/2021,
4 inch Orange Stick in Labels L4ORANGE,lab30,20000,169,17685,18/03/2021,15/03/2021,
4 inch Red Stick in Lables L4,lab32,20000,169,17685,18/03/2021,15/03/2021,
4 inch White Stick in Label L4,lab33,20000,169,17685,18/03/2021,15/03/2021,
6 inch White Stick in Labels L6,lab36,10000,169,17685,26/03/2021,15/03/2021,
Angle Head Black SL160BLACK,lab27,500,169,17685,18/03/2021,15/03/2021,
Loop Lock Label White 220mm LL8W,lab23,10000,169,17685,18/03/2021,15/03/2021,
Plant Clips PSC11,sup12,2500,169,17685,18/03/2021,15/03/2021,
Loop Lock Label Yellow 220mm LL8Y,lab24,30000,169,17547,18/03/2021,18/03/2021,
Tree Tie 13 inch TP320,sup8,1250,169,17307,18/03/2021,18/03/2021,
Clear 11.1m x 100m Sunmaster,pol10,200,170,50667,23/03/2021,15/03/2021,
Clear 14m x 100m Sunmaster,pol11,100,170,50667,23/03/2021,23/03/2021,
25kg Cardboard Box 490x360x190mm 716615/1/0,sto62,9920,171,93329,16/03/2021,16/03/2021,
Large Pot with handles - 50L LTR50,pot16,294,172,SO0019043,23/03/2021,16/03/2021,
Wicker Cone Hanging Basket 11-12 inch HB8006/20,han8,100,172,SO0019038,17/03/2021,16/03/2021,
Round Wire Hanging Basket 18 inch WBR18,han7,180,172,SO0020341,17/03/2021,16/03/2021,
5-19-10 Mag Phos Tree Shrub,fer39,4000,173,199908,22/03/2021,16/03/2021,
Ammonium Sulphate F2089,fer4,4000,173,SO104030,19/03/2021,16/03/2021,
Growmore 7-7-7 F2477,fer3,16000,173,SO104030,19/03/2021,16/03/2021,
15-9-20 Progrower Base Fertiliser 4318,fer44,4000,173,SO104030,19/03/2021,19/03/2021,
Iron Sulphate Ferrogranul Ironferr,fer49,14700,175,7028,31/03/2021,16/03/2021,
12-3-9 Spring & Summer,fer48,10000,175,7028,31/03/2021,16/03/2021,
Seaweed meal Seaweed 20,fer47,2000,175,7028,31/03/2021,16/03/2021,
Microdol Dolomite Lime 124984,fer16,3600,176,802383520,24/03/2021,17/03/2021,
Bone Meal 3.5-18-0,fer9,1000,177,37429,17/03/2021,17/03/2021,
Iron Sulphate Ferrogranul Ironferr,fer49,1000,177,37429,17/03/2021,17/03/2021,
2-0-0+2Fe Lawn Sand EL4040P,fer34,1000,177,37429,17/03/2021,17/03/2021,
7cm Square carry tray HS7S15,pot44,600,178,2,29/03/2021,17/03/2021,
Full Size 24 cell pack SV24,see9,3000,178,2,29/03/2021,17/03/2021,
Full Size 60 Cell Pack SV60,see12,150,178,2,26/03/2021,17/03/2021,
Gravel Trays HFSTHW,see27,4200,178,2,26/03/2021,17/03/2021,
Half Size 9 cell pack HSP9,see6,4000,178,2,26/03/2021,17/03/2021,
Square Pot - 0.75L 9cm HS9910,pot91,54000,178,2,26/03/2021,17/03/2021,
Carry Trays Triple,see26,100,178,2,26/03/2021,17/03/2021,
HFST Full Size Seed Tray,see17,3000,178,2,26/03/2021,17/03/2021,
Half Size 12 cell pack HSP12,see7,2000,178,2,26/03/2021,17/03/2021,
Strip Insert 5 cells,see2,1000,178,2,29/03/2021,17/03/2021,
Carry Trays Triple,see26,200,178,2,26/03/2021,26/03/2021,
15cm x 13cm Round Slits 70000479,jif8,5544,179,SP-027065,09/04/2021,17/03/2021,
30mm Coir Pellet 67100025,jif12,92160,179,SP-027065,09/04/2021,17/03/2021,
35mm Coir Pellet 63100030,jif13,34650,179,SP-027065,09/04/2021,17/03/2021,
45mm Coir Pellet 63400038,jif14,54000,179,SP-027065,09/04/2021,17/03/2021,
1ltr Gallup Home & garden CG02,wee7,660,180,SO0018540,17/03/2021,17/03/2021,
Citric Acid,sal1,3300,181,132042,23/03/2021,17/03/2021,
Post Box 330 x 240 x 30 Large,sto20,4716,182,93398,18/03/2021,18/03/2021,
3kg Cardboard Box 250 x 250 x 55 708095/1/0,sto25,2360,182,93398,18/03/2021,18/03/2021,
Rodex 25 Oktablok,pes0,72000,183,DNA12476,18/03/2021,18/03/2021,
Capillary matting 125cm ICM12,irr2,600,184,SO0019145,23/03/2021,18/03/2021,
Large Pot with handles - 35L LTR35,pot15,1120,184,SO0019145,23/03/2021,18/03/2021,
Large Pot with handles - 75L LTR75,pot17,280,184,SO0019145,23/03/2021,18/03/2021,
Wicker Round Hanging Basket 14 inch HB8005/20,han11,100,184,SO0019145,23/03/2021,18/03/2021,
24mm Peat Pellet 31122124,jif18,30000,184,SO0018540,06/04/2021,18/03/2021,
33mm Peat Pellet 31130105,jif19,40000,184,SO0019145,23/03/2021,18/03/2021,
Black Round pot 10L DK10.0L,pot75,3200,184,SO0019145,25/03/2021,18/03/2021,
Black Round pot 3L DK3.0L,pot71,10260,184,SO0019391,31/03/2021,18/03/2021,
Capillary matting 80cm ICM08,irr0,2400,184,SO0018823,23/03/2021,23/03/2021,
Capillary matting 100cm ICM10,irr1,800,184,SO0018823,23/03/2021,23/03/2021,
Frost Fleece 2m x 250m FL1809,gro0,4000,185,245298,25/03/2021,18/03/2021,
Plant Halos G167GM,pot13,288,187,75754,18/03/2021,18/03/2021,
Sweet Pea Gro Tubes GR1BP225SP,pot12,10000,188,37489,22/03/2021,18/03/2021,
Packing bubble 750mm x 10mm x 100m,sto37,1000,189,133062,19/03/2021,18/03/2021,
Packing bubble 1500 mm x 10mm x 100m,sto34,500,189,133062,19/03/2021,18/03/2021,
Envelope H5,sto31,3600,189,133062,19/03/2021,18/03/2021,
Woven ground cover 4m x 50m GC75450,gro24,2500,190,TSO92044,24/03/2021,19/03/2021,
Golden Gravel 10mm GG103,agg3,4000,191,218856,23/03/2021,19/03/2021,
Blue Slate 40mm SLB403,agg0,4000,191,218857,06/04/2021,19/03/2021,
Shade Net 40% 2m x 50m DB2006,net16,3950,192,245215,19/03/2021,17/03/2021,
Shade Net 40% 3m x 50m DB3004,net17,4100,192,245215,19/03/2021,17/03/2021,
Clear Polythene 2m 1000g 225mu 50m 26989,pol6,2500,193,147386,15/04/2021,19/03/2021,
Black Polythene 1m 500g 110mu 200m 30525,pol0,10000,193,147437,15/04/2021,19/03/2021,
Sodium Bicarbonate SB565,sal0,5250,194,1185947,29/03/2021,19/03/2021,
Standard Grow bag Tray G182B,see25,560,197,77170,09/04/2021,19/03/2021,
Green Full Size Seed Tray G17G,see15,2600,197,77170,09/04/2021,19/03/2021,
Black Full Size Seed Tray G17B,see14,1300,197,77170,09/04/2021,19/03/2021,
Green Half Size Seed Tray G18G,see21,500,197,77170,09/04/2021,19/03/2021,
Black Half Size Seed Tray G18B,see20,500,197,77170,09/04/2021,19/03/2021,
5kg Cardboard Box 390 x 290 x 55 708090/1/0,sto23,2050,198,93456,22/03/2021,22/03/2021,
Yodel Pack 440 x 340 x 185 708096/1/0,sto19,5460,198,93456,22/03/2021,22/03/2021,
Gallup Box 160 x 125 x 210 709913/1/0,sto26,5730,198,93456,22/03/2021,22/03/2021,
10kg Cardboard Box 415 x 325 x 87 710386/1/0,sto21,3840,198,93456,22/03/2021,22/03/2021,
Large Pot with handles - 130L LTR130,pot21,150,199,SO0019279,25/03/2021,22/03/2021,
Wicker Cone Hanging Basket 13-14 inch HB8029/20,han9,100,199,SO0019279,25/03/2021,22/03/2021,
13cm Thermoformed Black pot VCH13B,pot47,9720,199,SO0019279,25/03/2021,22/03/2021,
13cm Thermoformed Terracotta pot VCH13RT,pot51,4320,199,SO0019279,25/03/2021,22/03/2021,
Black Round pot 15L DK15.0L,pot77,2200,199,SO0019279,25/03/2021,22/03/2021,
Terracotta Pot 21cm 21F,pot41,504,199,SO0019279,25/03/2021,22/03/2021,
Square Pot - 1L 11cm DK111112,pot84,23330,199,SO0019279,25/03/2021,22/03/2021,
Plant Halos G167GM,pot13,288,200,77496,19/04/2021,22/03/2021,
Steel Chain 6mm x 15m 300-06033R0150ZP-1,acc17,300,202,1387266,25/03/2021,22/03/2021,
Steel Chain 4mm x 30m 300-04026R0300ZP-1,acc15,300,202,1387266,25/03/2021,22/03/2021,
Deep Rootrainers RT010101,see19,520,203,TSO92124,31/03/2021,22/03/2021,
9cm Square carry tray CT9/18,pot45,300,205,SO0019043,23/03/2021,23/03/2021,
Terracotta Plant Pot 10 inch G042243,pot104,250,206,TS318952,01/04/2021,23/03/2021,
Terracotta Plant Pot 12.5 inch G042263,pot105,250,206,TS318952,01/04/2021,23/03/2021,
Terracotta Saucer 10cm 3/4 inch G043143,pot62,300,206,TS318952,01/04/2021,23/03/2021,
Terracotta Saucer 20cm 7/8 inch G043223,pot64,250,206,TS318952,01/04/2021,23/03/2021,
Terracotta Saucer 24cm 10 inch G043243,pot65,260,206,TS318952,01/04/2021,23/03/2021,
Iron Sulphate Ferrogranul Ironferr,fer49,3150,207,7112,23/03/2021,17/03/2021,
MMC Pro 5L Cleaner 141MMC0500,wee5,640,208,1774573,24/03/2021,23/03/2021,
Epsom Salt Organic 14820001/25,sal5,24000,209,5863,23/03/2021,23/03/2021,
Golden Gravel 10mm GG103,agg3,8400,210,202655,30/03/2021,23/03/2021,
Blue Slate 40mm SLB403,agg0,2800,210,202655,30/03/2021,23/03/2021,
Plum Slate 40mm SLP403,agg5,2800,210,202655,30/03/2021,23/03/2021,
Cotswold 20mm C3,agg2,2800,210,202655,30/03/2021,23/03/2021,
Trent Pea Gravel 10mm TPG103,agg4,2800,210,202655,30/03/2021,23/03/2021,
Scottish Pebbles 20-40mm PEB SCOT1,agg7,4200,210,202655,30/03/2021,23/03/2021,
Scottish Cobbles 50-80mm COB SCOT2,agg6,4200,210,202655,30/03/2021,23/03/2021,
Terracotta Plant Pot 9cm 9F 9CM-SL-TC/C,pot36,9360,211,SO0018227,25/03/2021,23/03/2021,
Large Pot with handles - 50L LTR50,pot16,240,211,SO0019320,16/04/2021,23/03/2021,
44mm Peat Pellet 32170142,jif21,10000,211,SO0019318,25/03/2021,23/03/2021,
Black Round pot 1.5L DK1.5L,pot69,15120,211,SO0019318,25/03/2021,23/03/2021,
Black Round pot 7.5L DK7.5L,pot74,3400,211,SO0019318,25/03/2021,23/03/2021,
Capillary matting 125cm ICM12,irr2,800,211,SO0019963,16/04/2021,23/03/2021,
Flower Pouch,pot10,1500,211,SO0019318,25/03/2021,23/03/2021,
Round Wire Hanging Basket 14 inch WBR14,han5,180,211,SO0019318,25/03/2021,23/03/2021,
Round Wire Hanging Basket 16 inch WBR16/24,han6,180,211,SO0019318,25/03/2021,23/03/2021,
Super Soft Rubber Ties - 18 inch TP45,sup30,1000,212,17718,26/03/2021,23/03/2021,
Tapener Tying Tape MAX15GREEN,sup2,1800,212,17718,26/03/2021,23/03/2021,
Obelisk 108cm x 25cm OB1,sup4,75,212,17718,26/03/2021,23/03/2021,
Plant Clips PSC11,sup12,5000,212,17718,26/03/2021,23/03/2021,
Trellis - 82cm x 17cm Dia PS16,sup22,500,212,17718,26/03/2021,23/03/2021,
Trellis - 59cm x 30cm Dia PS11,sup20,500,212,17718,26/03/2021,23/03/2021,
Tying Tube 3mm x 50m TUBE3EP,sup28,100,212,17718,26/03/2021,23/03/2021,
Green Netting 2m x 100m PN30201,net0,7900,215,TSO91572,24/03/2021,24/03/2021,
Green Netting 4m x 100m PN30401,net1,4000,215,TSO91572,24/03/2021,24/03/2021,
9cm Thermoformed Terracotta Pot 9cm-TF-H-TC/B,pot48,21488,216,SO0019318,25/03/2021,25/03/2021,
Microdol Dolomite Lime 124984,fer16,3600,217,802413739,06/04/2021,25/03/2021,
25kg Cardboard Box 490x360x190mm 716615/1/0,sto62,220,218,19525,25/03/2021,25/03/2021,
New Soft Boxes,sto59,170,218,19525,25/03/2021,25/03/2021,
New mh 1,sto51,987,218,19525,25/03/2021,25/03/2021,
5 lt liquid bottle COJC05NATEPB,sto47,896,219,219,26/03/2021,25/03/2021,
Wild Bird Feed Sunflower Rich,bir2,2000,220,SO112777,25/03/2021,25/03/2021,
Frost Fleece 8.5m x 250m HCC232,gro4,160,221,245286,25/03/2021,25/03/2021,
Black Saucer 30cm DKS30B,pot56,450,222,SO0019391,30/03/2021,25/03/2021,
Large Pot with handles - 130L LTR130,pot21,226,222,SO0019391,30/03/2021,25/03/2021,
Terracotta Plant Pot 6cm 6E,pot35,8220,222,SO0019391,30/03/2021,25/03/2021,
Wicker basket round 18 inch,han13,100,222,SO0019391,30/03/2021,25/03/2021,
Black Round pot 20L DK20.0L,pot78,1360,222,SO0019391,30/03/2021,25/03/2021,
Black Saucer 35cm DKS35B,pot58,400,222,SO0019391,30/03/2021,25/03/2021,
35mm Coir Pellet 63100030,jif13,34650,223,SP-027194,15/04/2021,25/03/2021,
50x95mm Deep Peat Pellet 70000191,jif26,6804,223,SP-027194,15/04/2021,25/03/2021,
45mm Coir Pellet 63400038,jif14,7200,223,SP-027194,15/04/2021,25/03/2021,
60x 33mm Peat Tray 31206011,jif23,90,223,SP-027194,15/04/2021,25/03/2021,
60x 41mm Peat Tray 32206011,jif24,84,223,SP-027194,15/04/2021,25/03/2021,
6cm x 6cm Round Coco 30812200,jif1,7776,223,SP-027194,15/04/2021,25/03/2021,
4 inch Yellow Stick in Labels L4YELLOW,lab34,20000,225,17728,01/04/2021,26/03/2021,
4 inch Blue Stick in Labels L4BLUE,lab28,20000,225,17728,01/04/2021,26/03/2021,
4 inch Green Stick in Labels L4GREEN,lab29,20000,225,17728,01/04/2021,26/03/2021,
4 inch Orange Stick in Labels L4ORANGE,lab30,20000,225,17728,01/04/2021,26/03/2021,
4 inch Red Stick in Lables L4,lab32,20000,225,17728,01/04/2021,26/03/2021,
Super Soft Rubber Ties - 24 inch TP60,sup31,1200,225,17728,01/04/2021,26/03/2021,
Cane Cap Top hat CC1,sup18,4000,225,17728,01/04/2021,26/03/2021,
8 inch White Stick in Labels L8,lab37,5000,225,17728,01/04/2021,26/03/2021,
Angle Head Black - 19cm SL190BLACK,lab0,500,225,17728,01/04/2021,26/03/2021,
Plant Clips PSC11,sup12,5000,225,17728,01/04/2021,26/03/2021,
Support Rings PS10,sup13,200,225,17728,01/04/2021,26/03/2021,
Butterfly Netting 2m GREXT11,net5,1500,227,TSO92275,31/03/2021,26/03/2021,
Butterfly Netting 4m GREXT12,net6,900,227,TSO92275,31/03/2021,26/03/2021,
Shade Net 85% 0.91m x 100m LS8509101,net21,1000,227,TSO92275,31/03/2021,31/03/2021,
Shade Net 40% 1m x 50m DB1001,net15,5000,228,TSO92276,06/04/2021,26/03/2021,
Shade Net 95% 1.83m x 100m LS9518302,net24,500,228,TSO92276,06/04/2021,26/03/2021,
Glue band Traps FZBM126J,pes9,96,229,290321,06/04/2021,26/03/2021,
Winter Tree Wash FZLM176J,pes32,240,229,290321,06/04/2021,26/03/2021,
Hydrangea Colourant 20600082,acc22,240,229,290321,06/04/2021,26/03/2021,
Resolva Selective Weedkiller 20300303,wee4,180,229,290321,06/04/2021,26/03/2021,
Slug Killer 575g 20300351,pes30,180,229,290321,06/04/2021,26/03/2021,
7cm Square carry tray HS7S15,pot44,300,230,90,08/04/2021,26/03/2021,
Full Size 24 cell pack SV24,see9,3000,230,90,08/04/2021,26/03/2021,
Full Size 40 Cell Pack SV40,see10,4000,230,90,08/04/2021,26/03/2021,
Gravel Trays HFSTHW,see27,3900,230,90,08/04/2021,26/03/2021,
HFST Full Size Seed Tray,see17,5200,230,90,08/04/2021,26/03/2021,
Half Size 12 cell pack HSP12,see7,5600,230,90,08/04/2021,26/03/2021,
Half Size 6 Cell Pack HSP6,see3,11200,230,90,08/04/2021,26/03/2021,
Half Size 9 cell pack HSP9,see6,5600,230,90,08/04/2021,26/03/2021,
Square Pot - 0.25L 7cm HS778,pot89,45000,230,90,08/04/2021,26/03/2021,
Square Pot - 0.75L 9cm HS9910,pot91,17000,230,SO0019741,12/04/2021,26/03/2021,
Trolly Selling Pack 6 cell HSTP6,see4,7500,230,90,08/04/2021,26/03/2021,
Carry Trays Triple,see26,100,230,90,08/04/2021,26/03/2021,
9cm Square carry tray CT9/18,pot45,400,230,SO0019391,30/03/2021,26/03/2021,
Half Size Seed Tray HHST,see23,5000,230,90,08/04/2021,26/03/2021,
Golden Gravel 10mm GG103,agg3,11200,231,23,23/04/2021,26/03/2021,
Blue Slate 40mm SLB403,agg0,1400,231,23,23/04/2021,26/03/2021,
Plum Slate 40mm SLP403,agg5,1400,231,23,23/04/2021,26/03/2021,
Cotswold 20mm C3,agg2,1400,231,23,23/04/2021,26/03/2021,
Trent Pea Gravel 10mm TPG103,agg4,5600,231,23,23/04/2021,26/03/2021,
Scottish Pebbles 20-40mm PEB SCOT1,agg7,4200,231,23,23/04/2021,26/03/2021,
Scottish Cobbles 50-80mm COB SCOT2,agg6,2800,231,23,23/04/2021,26/03/2021,
Golden Gravel 10mm GG103,agg3,4000,232,218446,26/03/2021,26/03/2021,
Black Round pot 25L DK25.0L,pot79,1080,233,SO0019741,12/04/2021,29/03/2021,
Black Round pot 32L DK32.0L,pot80,550,233,SO0019522,30/03/2021,29/03/2021,
Black Round pot - 45L DK45L,pot81,610,233,SO0019522,30/03/2021,29/03/2021,
Black Round pot - 60L DK60L,pot82,400,233,SO0019520,31/03/2021,29/03/2021,
Terracotta Plant Pot 26cm 26F,pot43,560,233,SO0019522,30/03/2021,29/03/2021,
Wicker Round Hanging Basket 14 inch HB8005/20,han11,100,233,SO0019522,30/03/2021,29/03/2021,
Dead Sea - Bath Extra Magnesium (fine) DBF0025,sal4,1050,234,234,01/04/2021,29/03/2021,
25kg Cardboard Box 490x360x190mm 716615/1/0,sto62,1950,235,19529,29/03/2021,29/03/2021,
Black Round pot 12L DK12.0L,pot76,2300,236,SO0019590,01/04/2021,30/03/2021,
Black Round pot 4L DK4.0L,pot72,6580,236,SO0019590,01/04/2021,30/03/2021,
Black Round pot 2L DK2.0L,pot70,13200,236,SO0019590,01/04/2021,30/03/2021,
Black Round pot 1L DK1.0SL,pot68,22300,236,SO0019590,01/04/2021,30/03/2021,
Poly Pot - 3ltr,pot95,600,236,SO0019590,01/04/2021,30/03/2021,
Black Saucer 25cm DKS25B,pot114,500,236,SO0019590,01/04/2021,30/03/2021,
Terracotta Plant Pot 9cm 9F 9CM-SL-TC/C,pot36,9360,236,SO0019590,01/04/2021,30/03/2021,
Terracotta Pot 21cm 21F,pot41,504,236,SO0019590,01/04/2021,30/03/2021,
Envelope H5,sto31,12000,237,303904,01/04/2021,30/03/2021,
Ammonium Sulphate F2089,fer4,2000,238,201354,01/04/2021,30/03/2021,
Garden Lime 4379,fer24,3600,238,201354,01/04/2021,30/03/2021,
Granular Sulphate of Potash,fer25,1200,238,201354,01/04/2021,30/03/2021,
Growmore 7-7-7 F2477,fer3,19600,238,201354,01/04/2021,30/03/2021,
1022 20kg 10-2-2 Spring/Summer Complete Lawn,fer17,10000,239,7315,07/04/2021,30/03/2021,
12-3-9 Spring & Summer,fer48,12000,239,7317,07/04/2021,30/03/2021,
Elixir Rock Dust,fer40,3000,239,7317,07/04/2021,30/03/2021,
Seaweed meal Seaweed 20,fer47,1000,239,7317,07/04/2021,30/03/2021,
Seaweed meal Seaweed 20,fer47,1000,239,7317,07/04/2021,30/03/2021,
Elixir Rock Dust,fer40,5000,239,7317,07/04/2021,30/03/2021,
12-3-9 Spring & Summer,fer48,6000,239,7317,07/04/2021,30/03/2021,
Iron Sulphate Ferrogranul Ironferr,fer49,14700,240,7317,21/04/2021,30/03/2021,
New Soft Boxes,sto59,1564,241,19530,30/03/2021,30/03/2021,
Play Sand SPG3,agg1,3360,242,218885,06/04/2021,31/03/2021,
Play Sand SPG3,agg1,168,242,218517,08/04/2021,31/03/2021,
9cm Thermoformed Terracotta Pot 9cm-TF-H-TC/B,pot48,21488,244,SO0019654,06/04/2021,31/03/2021,
Basket Liner (16 inch) JL16E,han2,400,244,SO0019654,06/04/2021,31/03/2021,
Large Pot with handles - 130L LTR130,pot21,150,244,SO0019655,16/04/2021,31/03/2021,
Large Pot with handles - 75L LTR75,pot17,80,244,SO0019654,06/04/2021,31/03/2021,
Plastic black basket 14 inch,han15,120,244,SO0019654,06/04/2021,31/03/2021,
Terracotta Pot 23cm 23F,pot42,630,244,SO0019654,06/04/2021,31/03/2021,
Wicker Cone Hanging Basket 13-14 inch HB8029/20,han9,200,244,SO0020341,02/04/2021,31/03/2021,
Wicker Round Hanging Basket 12 inch HB8004/20,han10,200,244,SO0020341,02/04/2021,31/03/2021,
Black Round pot 10L DK10.0L,pot75,3200,244,SO0019654,06/04/2021,31/03/2021,
Calcified Seaweed,fer13,2000,245,9428,31/03/2021,31/03/2021,
Capillary matting 100cm ICM10,irr1,1200,248,SO0019963,16/04/2021,02/04/2021,
Poly Pot- 2L,pot25,6150,248,SO0019741,12/04/2021,02/04/2021,
Wicker Round Hanging Basket 14 inch HB8005/20,han11,100,248,SO0019741,12/04/2021,02/04/2021,
11cm Square carry Tray 3548,pot46,100,248,SO0019963,16/04/2021,02/04/2021,
13cm Thermoformed Black pot VCH13B,pot47,9720,248,SO0019741,12/04/2021,02/04/2021,
Black Round pot 20L DK20.0L,pot78,1360,248,SO0019741,12/04/2021,02/04/2021,
Black Saucer 30cm DKS30B,pot56,600,248,SO0019741,12/04/2021,02/04/2021,
Black Saucer 35cm DKS35B,pot58,200,248,SO0019741,12/04/2021,02/04/2021,
Terracotta Plant Pot 6cm 6E,pot35,8220,248,SO0019741,12/04/2021,02/04/2021,
Wicker Cone Hanging Basket 11-12 inch HB8006/20,han8,100,250,SO0019741,12/04/2021,06/04/2021,
13cm Thermoformed Terracotta pot VCH13RT,pot51,4320,250,SO0019741,12/04/2021,06/04/2021,
Black Round pot 15L DK15.0L,pot77,2200,250,SO0019741,12/04/2021,06/04/2021,
Black Round pot 3L DK3.0L,pot71,10260,250,SO0019741,12/04/2021,06/04/2021,
Black Round pot 7.5L DK7.5L,pot74,3400,250,SO0019741,12/04/2021,06/04/2021,
Black Saucer 40cm DKS40B,pot115,500,251,SO0019741,12/04/2021,08/04/2021,
Dead Sea Salt 0.8-5mm Food Grade PMG0025 Purple bag,sal2,2450,255,225,09/04/2021,07/04/2021,
Large Pot with handles - 75L LTR75,pot17,250,259,SO0020429,08/04/2021,07/04/2021,
Terracotta Pot 21cm 21F,pot41,504,259,SO0020341,08/04/2021,07/04/2021,
Terracotta Pot 23cm 23F,pot42,1125,259,SO0020215,08/04/2021,07/04/2021,
9cm Thermoformed Terracotta Pot 9cm-TF-H-TC/B,pot48,21488,259,SO0019741,12/04/2021,07/04/2021,
15-9-20 Progrower Base Fertiliser 4318,fer44,4200,260,201666,12/04/2021,07/04/2021,
Ammonium Sulphate F2089,fer4,2000,260,201666,12/04/2021,07/04/2021,
Triple Super Phosphate F3059,fer53,1000,260,201666,12/04/2021,07/04/2021,
